01-11-2016,48199,50400,47964.2,50086.95,48981.72,5966,1963,292224941,3612,60.54,2435.8,1887.95
15-11-2016,52500,53000,49900,50094.05,51177.47,1667,1146,85312846,343,20.58,3100,-2405.95
25-10-2016,49950,50270,49775.85,50111.4,50069.64,1405,706,70347844,458,32.6,494.15,161.4
07-12-2016,50294.5,50751.05,49800,50123.95,50303.26,600,445,30181955,105,17.5,951.05,-170.55
21-02-2017,50367.65,50686.85,49996.6,50146.15,50310.06,916,468,46084014,411,44.87,690.25,-221.5
06-02-2017,51567,51899,50001,50218.95,50623.43,1650,1112,83528653,634,38.42,1898,-1348.05
14-02-2017,51000,51096.6,50111.05,50261.1,50463.42,591,470,29823882,133,22.5,985.55,-738.9
06-12-2016,50500,51000,50000,50299.05,50629.73,1634,1125,82728981,516,31.58,1000,-200.95
03-11-2016,49500,50750,49173,50305.9,50267.57,3021,1650,151858318,433,14.33,1577,805.9
04-11-2016,50250,50900,49600,50319.9,50234.23,2198,1418,110414827,510,23.2,1300,69.9
20-02-2017,50117.15,50555,49950,50341.75,50347.3,590,379,29704907,140,23.73,605,224.6
04-01-2017,50550,50791.45,50210,50353.6,50472.41,610,453,30788172,82,13.44,581.45,-196.4
07-02-2017,50350,50988,49801,50380.7,50374.81,1695,1191,85385308,348,20.53,1187,30.7
03-01-2017,49399,50550,49100,50407.75,50128.55,1481,992,74240388,232,15.67,1450,1008.75
21-10-2016,50190,51061.95,49782.55,50455.6,50389.51,2681,1612,135094270,314,11.71,1279.4,265.6
05-12-2016,48548,50850,48500,50489.35,50068.81,2133,1239,106796772,805,37.74,2350,1941.35
19-10-2016,51690,51796.4,50402,50552.9,50833.09,2690,1451,136741021,250,9.29,1394.4,-1137.1
16-02-2017,50400,50900,49605.05,50555.3,50269.81,1687,1045,84805162,452,26.79,1294.95,155.3
16-11-2016,50900,51650,50400,50589.65,50979.88,1261,941,64285627,233,18.48,1250,-310.35
07-11-2016,50980,51000,50500,50834.8,50803.7,1033,718,52480218,221,21.39,500,-145.2
13-02-2017,51279.85,51736.7,50705.9,50859.25,51105.91,577,412,29488111,106,18.37,1030.8,-420.6
30-09-2016,49440,51115,48955.7,50937.35,50096.61,4878,2906,244371276,589,12.07,2159.3,1497.35
03-02-2017,51650,52650,49999.9,51019.6,50984.43,4688,3048,239015006,899,19.18,2650.1,-630.4
04-10-2016,52249,52499.95,50900.05,51145.85,51517.86,3414,1921,175881990,586,17.16,1599.9,-1103.15
09-01-2017,51551,51764.95,50810.35,51255.3,51172.81,697,451,35667452,79,11.33,954.6,-295.7
10-02-2017,51437.8,51868.7,51250,51396.15,51535.98,619,422,31900772,110,17.77,618.7,-41.65
06-01-2017,51760,52644.3,51130.5,51425.5,51873.18,1921,1275,99648380,397,20.67,1513.8,-334.5
23-02-2017,49764.7,51597.95,49704.5,51426.85,50847.93,2114,1332,107492531,554,26.21,1893.45,1662.15
08-12-2016,50590,51789,50554.15,51462.05,51246.28,1617,993,82865242,470,29.07,1234.85,872.05
19-12-2016,52499,52499,51203.3,51521.95,51755.9,457,319,23652447,82,17.94,1295.7,-977.05
08-02-2017,50500,51699.95,50391.2,51541.3,51130.63,1406,942,71889663,269,19.13,1308.75,1041.3
27-02-2017,51348.45,52095,51148,51545.7,51636.71,1979,1005,102189046,174,8.79,947,197.25
09-02-2017,51948.95,52000,51211.05,51555.55,51670.44,701,484,36220975,142,20.26,788.95,-393.4
08-03-2017,52248.95,52300,51166.5,51558.65,51802.32,1873,652,97025746,1093,58.36,1133.5,-690.3
02-02-2017,52799,52799,51338.35,51577.1,51742.09,1340,963,69334394,405,30.22,1460.65,-1221.9
18-10-2016,49960,51785,48762.5,51617,50153.14,5332,3266,267416531,674,12.64,3022.5,1657
05-01-2017,50500,51985.7,50500,51631.05,51219.76,1072,739,54907582,269,25.09,1485.7,1131.05
20-01-2017,51850,52550.55,51405,51635.95,51893.29,962,671,49921346,139,14.45,1145.55,-214.05
31-01-2017,52190,52190,51020,51677.45,51580.8,955,804,49259660,116,12.15,1170,-512.55
28-02-2017,51498.95,52460,51495,51792.45,52046.02,2723,772,141721318,1261,46.31,965,293.5
03-10-2016,51451,52350,51300,51877.7,51850.9,4412,2659,228766183,561,12.72,1050,426.7
30-01-2017,53256,53265,51810,51911.4,52305.25,1129,812,59052627,338,29.94,1455,-1344.6
09-03-2017,51599,52306.15,51398.95,51914.55,51951.45,692,483,35950406,107,15.46,907.2,315.55
02-03-2017,53100,53316.5,51705.05,51931.9,52378.53,1632,716,85481763,215,13.17,1611.45,-1168.1
19-01-2017,52791.4,52868.8,51726.6,52007.95,52198.14,1404,904,73286185,371,26.42,1142.2,-783.45
03-03-2017,51899,52549.05,51655.4,52017.05,52100.77,776,573,40430201,119,15.34,893.65,118.05
08-11-2016,50900,52389.95,50420,52051.2,51426.94,1799,1174,92517073,378,21.01,1969.95,1151.2
10-03-2017,52190,52350,51939.3,52063.2,52135.71,703,428,36651406,170,24.18,410.7,-126.8
09-11-2016,47500,52550,47053.05,52099.85,50576.74,4157,2778,210247518,512,12.32,5496.95,4599.85
07-03-2017,51901,52501,51900,52101.2,52129.67,1401,474,73033667,312,22.27,601,200.2
16-12-2016,52565,52950,52000,52136.15,52364.93,669,480,35032141,84,12.56,950,-428.85
06-03-2017,52457,52560,51999,52224,52232.41,565,362,29511310,147,26.02,561,-233
23-01-2017,51000,52792.6,51000,52299.65,52224.27,1012,743,52850964,160,15.81,1792.6,1299.65
12-12-2016,52999,53500,52000,52336.65,52486.27,1024,706,53745942,176,17.19,1500,-662.35
14-10-2016,53390,53648,52201,52413.9,52773.28,1933,1025,102010758,265,13.71,1447,-976.1
24-01-2017,52711.2,52825,52211.5,52449.8,52506.51,629,495,33026592,102,16.22,613.5,-261.4
01-02-2017,51654.1,52814.95,51499,52569.75,52235.99,1247,938,65138277,170,13.63,1315.95,915.65
13-12-2016,52653.95,53387.45,52283.9,52625.8,52738.9,1206,926,63603114,244,20.23,1103.55,-28.15
15-12-2016,52700,53243.95,52361.25,52626.8,52799.12,1307,898,69008450,331,25.33,882.7,-73.2
14-12-2016,52520,52888,52250,52680.2,52626.96,849,611,44680292,176,20.73,638,160.2
11-11-2016,52772.5,53389.5,52206,52696.35,52808.33,1464,1009,77311388,262,17.9,1183.5,-76.15
01-03-2017,52055.05,53200,52054.9,52717.05,52719.85,2097,872,110553532,334,15.93,1145.1,662
09-12-2016,51500.05,53163.95,51291.2,52884.45,52378.1,1999,1368,104703828,275,13.76,1872.75,1384.4
14-03-2017,52867.8,53389,52147.6,52981.35,52785.12,1665,1029,87887228,553,33.21,1241.4,113.55
10-01-2017,51300,53775,51145.95,53001.15,52372.43,1187,809,62166074,319,26.87,2629.05,1701.15
18-01-2017,53636,54049.95,52800,53009.65,53415.27,1261,892,67356651,280,22.2,1249.95,-626.35
25-01-2017,52500,53189.95,52030,53034.7,52758.56,700,432,36930989,220,31.43,1159.95,534.7
16-01-2017,53051,53900,52545.1,53080.2,53189.47,1730,1193,92017783,183,10.58,1354.9,29.2
10-10-2016,53670,54090,52888.8,53108.85,53443.81,1843,944,98496939,449,24.36,1201.2,-561.15
27-01-2017,53190.45,53580,53110,53266.75,53332.8,1506,526,80319201,876,58.17,470,76.3
13-01-2017,55010,55311,53000,53293.65,53754.47,2357,1742,126699293,602,25.54,2311,-1716.35
13-10-2016,53105,53650,52605.05,53357.5,53160.83,2262,1396,120249792,264,11.67,1044.95,252.5
07-10-2016,54101,54449,53060,53494.85,53621.43,2023,1201,108476157,257,12.7,1389,-606.15
10-11-2016,52501,53950,52501,53528.05,53462.2,1858,1323,99332769,510,27.45,1449,1027.05
17-01-2017,52950,54350,52888,53587.3,53823.13,1046,773,56298989,99,9.46,1462,637.3
05-10-2016,51660,53950,51260.05,53757.5,52996.83,7567,4106,401027050,1581,20.89,2689.95,2097.5
06-10-2016,53825.1,54600.65,53255,53805.05,53998.46,6203,3595,334952447,1006,16.22,1345.65,-20.05
12-01-2017,55500,55924.95,54577.3,54856.55,55171.77,3066,1955,169156640,662,21.59,1347.65,-643.45
11-01-2017,53850,55479.95,53450,55340.5,54585.03,4535,2912,247543093,880,19.4,2029.95,1490.5
17-03-2017,56400,56700,54961.45,55438.7,55618.58,3110,1612,172973791,892,28.68,1738.55,-961.3
20-03-2017,56301,57048.15,55730.05,56034.05,56242.34,2525,1488,142011918,560,22.18,1318.1,-266.95
16-03-2017,57235,57429.9,56265,56428.85,56739,2759,1714,156542913,669,24.25,1164.9,-806.15
15-03-2017,53293.25,57958.65,53250,56854.5,56276.81,11925,7454,671101011,3246,27.22,4708.65,3561.25
22-03-2017,57857,58459.95,57437.1,57854.3,57923.09,2624,1786,151990194,449,17.11,1022.85,-2.7
21-03-2017,56389.95,58300,55909.9,58071.6,57337.78,3079,1918,176543035,845,27.44,2390.1,1681.65
28-03-2017,59905,60298.9,58020,58312.25,59058.2,1877,1282,110852233,355,18.91,2278.9,-1592.75
24-03-2017,59559,59635.2,58985,59184.15,59288.24,1145,830,67885040,164,14.32,650.2,-374.85
